"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
68,1,12," S4-20.jpg",1,1," purple","congruent",1,1,1.2272,0.7667,1,0.65,0.65,0.4605
68,1,13," S4-20.jpg",1,3," green","neutral",1,1,1.3547,0.8,1,0.5,0.5,0.5547
68,1,14," S3-12.jpg",2,3," green","neutral",2,1,1.4347,0.8333,1,0.5,0.5,0.6014
68,1,15," S3-12.jpg",2,2," orange","congruent",2,1,1.2363,0.7667,1,0.65,0.65,0.4696
68,1,16," S3-12.jpg",2,3," green","neutral",2,1,1.4361,0.8167,1,0.5,0.5,0.6194
68,1,17," S3-12.jpg",2,2," orange","congruent",2,1,1.3425,0.9667,1,0.65,0.65,0.3758
68,1,18," S3-12.jpg",2,1," purple","incongruent",2,1,1.4259,0.8333,1,0.65,0.35,0.5926
68,1,19," S3-12.jpg",2,2," orange","congruent",2,1,1.0594,0.8,1,0.65,0.65,0.2594
68,1,20," S3-12.jpg",2,3," green","neutral",2,1,1.024,0.9333,1,0.5,0.5,0.0907
68,1,21," S3-12.jpg",2,1," purple","incongruent",1,0,0.6254,1.0333,1,0.65,0.35,-0.4079
68,1,22," S4-20.jpg",1,3," green","neutral",2,0,0.5437,0.9167,1,0.5,0.5,-0.373
68,1,23," S4-20.jpg",1,1," purple","congruent",1,1,1.4718,0.9333,1,0.65,0.65,0.5385
68,1,24," S4-20.jpg",1,3," green","neutral",1,1,1.4125,0.7833,1,0.5,0.5,0.6292
68,1,25," S4-20.jpg",1,2," orange","incongruent",1,1,1.4224,0.8167,1,0.65,0.35,0.6057
68,1,26," S4-20.jpg",1,2," orange","incongruent",2,0,0.9413,0.8,1,0.65,0.35,0.1413
68,1,27," S4-20.jpg",1,2," orange","incongruent",1,1,1.3886,1,1,0.65,0.35,0.3886
68,1,28," S4-20.jpg",1,3," green","neutral",2,0,1.7307,1.0333,1,0.5,0.5,0.6974
68,1,29," S4-20.jpg",1,3," green","neutral",1,1,1.3298,0.8833,1,0.5,0.5,0.4465
